"realSum" "room" "capacity" "bedrooms" "dist" "metro" "attr" "rest" "lng" "lat" "host" "cleanliness" "satisfaction"
319,640053429569 2 2 1 4,76335974080673 0,852117396926157 110,906123286345 136,982207779159 4,84639 52,34137 2 9 8,8
347,995219459612 2 2 1 5,74831029327163 3,65159149908583 75,2759365581064 95,3864677932154 4,97512 52,36103 2 9 8,7
482,975183371218 2 4 2 0,384872086143166 0,439851630272995 493,272517490928 875,114817497087 4,89417 52,37663 2 9 9
485,552925737586 2 2 1 0,544722558721345 0,318688148435699 552,849513615576 815,303994178939 4,90051 52,37508 0 10 9,8
2771,5417242753 1 4 3 1,6867976800229 1,45839938986642 208,809162004537 272,315202042404 4,88467 52,38749 0 10 10
1001,80441965646 1 4 2 3,71913893249208 1,19610391421364 106,226537505366 133,876300038752 4,86459 52,40175 0 9 9,6
393,457221193729 1 2 1 1,80754864597333 1,90247738721308 209,11290863592 273,249193398704 4,87391 52,38446 0 10 9,9
287,769784172662 2 2 1 3,14235997696058 0,924407718144954 206,253074625214 238,290778457111 4,876 52,347 1 10 8,8
909,474374897476 1 2 1 1,00992868082271 0,917121247590624 409,856503992039 555,110938312919 4,87956 52,36953 0 10 9,6
393,457221193729 2 2 1 2,1827144595365 1,59038106539412 191,5008261547 229,296953645852 4,92496 52,37107 1 10 9,7
553,042907693389 1 4 1 2,93305158260141 0,628065184212171 214,922535625131 269,624589867965 4,88934 52,34697 0 8 8,7
553,042907693389 1 2 1 1,30549208331299 1,3421586603077 325,256778832145 390,913161994283 4,87417 52,37509 0 10 10
682,164366226888 1 2 1 2,17255597787759 0,630255412373137 260,324284874835 336,246585413092 4,90222 52,35452 0 10 9,8
233,637194478945 2 2 1 7,3045343108862 3,72080113638946 59,7761990119293 75,7011175256214 4,99679 52,35645 1 8 9,6
368,851498605676 2 2 1 1,32780034176312 0,119497859461722 539,003467489396 573,888184313612 4,88971 52,36148 0 10 9
497,504276708926 1 2 1 1,7916756703798 1,23185381060005 392,591207417516 438,08093153285 4,87327 52,36265 0 9 9,6
1106,3201556019 1 4 2 0,438688674940163 0,652137945247694 483,86026184985 716,373179001257 4,89022 52,37676 2 10 9,5
612,096641904717 1 2 1 1,81416209003188 1,52585467346168 307,06259889094 372,182126922141 4,86989 52,36523 0 10 9,9
858,153867785251 1 4 3 2,18836232411904 1,53039481738664 325,68537276093 332,044686780588 4,86865 52,36047 0 10 9,8
332,060084831158 1 2 1 2,4911661184354 1,33164662356581 170,634617365402 212,939808283745 4,85756 52,37855 0 10 9,8
203,875987158156 2 2 1 4,23063824911288 2,68713390978545 92,2135194320103 116,21702277826 4,89595 52,41122 1 10 9,6
269,022566962716 2 2 1 4,18081713439632 2,80842916097303 93,2707108368659 117,759576411184 4,89375 52,41081 1 8 9,3
295,26867105664 2 2 1 4,12728991588586 0,839313666158838 129,229258057342 164,404354139152 4,84631 52,34966 0 10 9,4
1096,47786656668 1 4 2 2,16161860889019 1,42419399969645 183,364663357679 222,389462211349 4,92432 52,37676 1 9 9,6
572,727485763832 1 2 1 1,12631132163953 1,1210539305097 386,370843203216 462,811285511485 4,87657 52,37288 2 9 8,9
599,910950718253 1 4 3 3,36359899945372 0,697402152035094 156,236374112122 198,873305740216 4,90806 52,34442 0 9 9,4
602,254352869496 1 3 2 3,85629016079703 0,727959614777696 148,72413076359 184,2595365968 4,86021 52,34502 0 10 10
1609,91727790406 1 6 3 2,98858995565267 1,75000049385822 207,952427924506 241,778066954892 4,86225 52,35413 1 10 9,6
331,825744616034 1 2 0 1,80062728965699 0,409751877486474 561,972552558349 500,939267129912 4,89271 52,35705 0 10 9,4
796,522391207555 1 4 2 2,85495502454989 1,70260551779382 202,845837550708 271,473170227861 4,8588 52,35848 0 10 9,4
540,6228762918 2 2 1 6,41163499192291 4,14323011772052 67,2156191044324 83,998695224242 4,98597 52,36376 0 9 9,6
344,480116232747 2 2 1 0,540346175802874 0,338642715644441 558,621897510312 816,904787789209 4,90032 52,37525 2 10 9,5
479,460080144354 2 3 1 0,514369132869998 0,277216808729981 589,264019690681 873,365060723345 4,90027 52,37469 2 10 9,4
716,612377850163 1 5 2 3,69501940125147 0,397527244963636 116,723559859399 147,251730975506 4,841 52,38253 0 10 9,6
350,338621610855 2 2 0 1,09789845678289 0,956934100894463 293,054039100221 426,522029211106 4,88774 52,38254 1 10 9,1
378,693787640897 1 2 1 4,0250616379507 0,341013506220865 120,489558864448 153,872848252284 4,92428 52,3425 0 9 9,5
299,018114498629 2 2 0 4,22420187445314 1,51930671330688 108,746066296278 138,786994143086 4,93986 52,34829 0 9 9,4
381,03718979214 1 2 1 1,49400709734699 1,63493137366073 254,06972401382 316,679620674197 4,87586 52,38154 0 9 9,5
430,248634968247 1 2 1 3,01944478087738 0,792403672395965 144,550007304148 182,761889648875 4,84941 52,37788 0 10 9,6
344,480116232747 2 2 1 0,363334150496792 0,209643871327803 1238,47378176188 755,133927194134 4,89843 52,3734 2 9 9,5
406,814613455815 2 4 1 5,03650427418664 1,24661517808013 87,2046551622694 109,095713137848 4,82115 52,38375 0 9 9,8
749,654348182692 1 4 2 2,1476442236813 1,66357309448133 198,665836930389 246,150389458459 4,86204 52,37659 0 10 9,8
491,880111545942 2 2 1 0,375148117874373 0,190385266980999 1888,73745543493 747,79989704441 4,89861 52,37326 2 9 9,8
344,480116232747 2 2 1 0,360490899742151 0,223520461945741 1030,18774563839 761,561063488527 4,89837 52,37355 2 9 9,5
817,144330138495 2 4 5 1,39555838427665 0,857218879974195 311,016728242139 350,856109734485 4,91319 52,37075 2 10 10
420,406345933026 1 2 1 1,48338477006234 0,536218084101328 334,973965827081 370,01784654106 4,91113 52,36575 0 9 9
255,66517470063 2 2 1 3,52868130244726 0,206182897520943 159,498910906604 200,964585946128 4,89552 52,34155 1 10 10
798,865793358798 1 4 2 1,50590506052347 0,175812750204311 304,282541750391 364,865912538744 4,9075 52,36296 0 10 9,8
368,617158390551 2 4 1 10,9070808958398 0,644974936830972 42,2931064327019 52,6342300723852 4,97847 52,29031 0 10 9,7
848,077238534905 1 4 3 1,26730962369538 1,15798150310482 363,99679373728 480,586462471516 4,87652 52,36806 0 10 9,8
768,167225177513 1 4 2 2,37632839195777 0,213720707682515 310,960804381602 373,433694430088 4,88875 52,35204 0 9 9,3
469,617791109132 2 2 1 0,975064909805429 1,10500244170449 355,616233877789 528,565206398624 4,884 52,38 1 10 9,8
613,268342980339 1 4 1 0,227261771501336 0,459806404071395 562,264031183714 798,406078989488 4,89248 52,37524 1 9 8,4
249,572329107398 2 2 1 5,83941415576267 3,83305658270712 73,916533837527 92,5696116292059 4,97698 52,36234 0 10 9,8
